symbol,coin,data_start,data_end,return_1d_pct,return_3d_pct,return_7d_pct,return_14d_pct,return_30d_pct,range_3d_pct,range_7d_pct,range_14d_pct,quote_volume_7d_avg,quote_volume_14d_avg,volume_ratio_7d,volume_ratio_14d,hot_score,hot_reasons,is_hot,direction,threshold,regime,tp_pct,sl_pct,time_stop_min,base_7d_return_pct,base_7d_trades,base_7d_pf,base_7d_dd_pct,strict_7d_return_pct,strict_7d_trades,strict_7d_pf,strict_7d_dd_pct,taker_7d_return_pct,taker_7d_trades,taker_7d_pf,taker_7d_dd_pct,base_14d_return_pct,strict_14d_return_pct,taker_14d_return_pct,base_30d_return_pct,strict_30d_return_pct,taker_30d_return_pct,decision
XNYUSDT,XNY,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-16.682986536107713,19.84154929577464,3.560018256503872,33.31374853113982,68.7825440119018,71.23670956911023,73.27293318233296,80.60200668896323,7811221.588167154,5840042.612710206,1.5230451418082442,0.8785739738158621,79.73194076273178,3d move;3d range;7d range,True,long,60,base,0.012,0.04,180,6.518274953410841,23,1.5269148188625221,6.882513852427046,15.747308410393313,23,3.0953870116624156,3.975542415883073,3.775949451029037,23,1.2983996922765193,7.404087734180063,41.70148449836868,49.17027407802108,35.89605368510311,21.41149121080794,23.71241647313298,14.745272661493658,ready
4USDT,4,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,15.697564659241102,26.94976696012428,17.93514865775041,26.321756157889318,1.414860168790355,38.22518263859047,38.22518263859047,38.22518263859047,5517263.530438843,4768045.413932134,0.2852334798503915,0.22349338664423848,63.90625685059834,3d move;3d range,True,long,60,base,0.007,0.04,180,12.877037203455233,53,1.7538198497035806,6.915769255212608,23.532309266933083,56,2.957083396450517,6.410934021531626,1.8583274759631507,39,1.1171090366228107,11.513737281246222,27.380901291775217,34.038240153641695,17.16532877530672,23.8448648731562,22.943715143862043,9.006486677777081,ready
APEUSDT,APE,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-6.214689265536711,4.010025062656641,14.482758620689662,65.0099403578529,89.06605922551253,21.2998712998713,38.96952104499274,183.6567926455567,98985508.60469995,194465547.5696573,1.308423798692621,19.991806158230315,100.0,volume spike,True,long,50,wide,0.012,0.04,90,6.792872446014719,15,2.0220476913458563,3.734170987632629,7.171279313937151,15,1.9510674791224047,3.5293228457196837,3.281868478486283,14,1.4711697230304719,4.157727070867231,15.806212700010903,14.549688670725835,10.686291205327736,22.86516856707932,22.825331066196462,13.529932684108203,ready
AIOUSDT,AIO,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,5.670567056705678,6.359847798514218,32.2072072072072,52.745251105906846,51.34717029779554,16.076267905536202,42.77251184834123,63.94557823129252,5686389.843624273,3701539.856767842,1.2494169719607695,0.8605168026329005,62.242151891955345,7d move,True,long,50,wide,0.012,0.04,90,10.823774617683867,39,1.6437856357605305,4.63486591373476,11.63955948801576,30,1.8533935959796108,4.58625209898889,7.937269094371069,39,1.4465097809336225,4.8264106509655775,22.996526022737672,17.66956141892817,13.050258859656516,7.685749619758275,20.550293509821405,-11.341874522585405,ready
ACHUSDT,ACH,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-2.605185909980423,8.5173071681657,23.209036051369324,33.004843828294625,27.63263343484532,21.10338959012905,32.94410711505527,42.88821954484603,11626612.750414146,6964896.352222277,4.47168004976058,2.84211383353796,62.92883715244487,7d move;volume spike,True,long,50,wide,0.0035,0.04,90,11.124163795341069,73,2.046742950166973,3.7751706787539483,18.142919627706355,85,3.0777436761384007,4.307811189600215,6.386768633142603,73,1.592340155302534,4.588442964844373,12.232997450546979,18.337520185704292,6.570690920818079,13.391500959768464,19.04331345821464,6.235856921528371,ready
GWEIUSDT,GWEI,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,4.291010194624656,4.640133903663757,-10.65502183406114,7.756391841424892,109.65067536096882,15.313179213594141,59.87354085603116,68.82295719844358,25595442.035997175,30184924.327087175,1.1311268859406491,1.7904168365203412,53.95843584790546,7d range,True,short,40,wide,0.007,0.04,60,22.92420909683781,143,1.324261595376508,18.875445907791963,28.6315140481322,175,1.327284320676558,14.491489449899337,7.7649623405816826,136,1.1108173233720409,22.010156597161192,37.44160180287217,42.79665407664142,16.00372935642007,10.480148077501394,17.829653591413972,-11.357913961358413,ready
BBUSDT,BB,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,7.881301850670064,17.436609934004863,22.322720694645426,37.71894093686355,44.92070295756536,29.35092724679029,39.125431530494815,47.79951100244497,10625273.14960857,10951109.384975744,1.9979653346377189,3.5202757477512097,72.81609807653335,3d move;7d move;3d range;volume spike,True,long,50,wide,0.01,0.04,90,19.662667186539416,62,1.6834358584821212,9.402227782699644,15.784527560536743,71,1.4393959890143504,9.391318671312158,14.903712975872496,62,1.5041849097379063,10.144194303349895,14.108114377597069,10.504819208336237,5.924705693600396,20.36555502118653,17.428404205027228,7.065416512948897,ready
TURTLEUSDT,TURTLE,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,5.896907216494851,8.790510485066715,3.9045114303054795,14.515050167224075,20.648343904157883,14.983570646221246,39.627601314348304,49.41397093295829,9371468.450027129,5464312.695152171,5.962521413405367,3.9023162129471394,57.57172117249494,volume spike,True,long,50,wide,0.01,0.04,90,8.846640400855566,45,1.3774117719393857,8.055403693704145,8.16413434117036,37,1.4354777126127096,7.096003956892203,5.6512483209455455,45,1.2340515648260326,8.56206827214912,13.266541173985757,12.041434947173514,7.915375421169646,15.521077752146063,17.307625881907907,7.352931899033566,ready
IRUSDT,IR,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,0.0,0.0,-25.315591948140572,-57.0447409733124,-42.15116279069767,0.0,151.40879881364307,210.430054374691,9791396.571464295,7585479.828817157,2.770685146712963,2.926717763114698,97.59699484189281,7d move;7d range;volume spike,True,short,40,wide,0.01,0.04,90,36.539297192139244,70,2.2473538287749215,7.034151056033274,34.706431778593384,69,2.2200774078600314,7.034151056033261,18.468229169741,42,2.1727795117971387,6.3726286026706065,36.50194228277894,35.370720854198304,17.44593998752486,20.523293731254498,16.44292211246956,1.203401252062286,ready
MEGAUSDT,MEGA,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-9.911478740386004,-25.576934604088,-26.24450516811214,-22.496878901373286,-0.8702594810379161,42.0225822287678,74.68499427262314,76.41138929798723,85919853.91626379,44777254.60144122,39.359705570833775,29.30865016182375,93.97657718116659,3d move;7d move;3d range;7d range;volume spike,True,long,50,wide,0.012,0.04,120,28.026790819895187,67,1.6730883537465704,9.237291751943646,15.709263693894048,61,1.3728693684067717,10.18027986860559,24.381658583583608,68,1.5931385070451243,9.58786503629549,18.855445771560618,10.20326496866726,13.213024415649933,26.751879362341757,16.235620538030826,20.20583758861383,ready
TRIAUSDT,TRIA,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-0.3745318352060045,4.477611940298498,9.465020576131678,52.11589782691575,45.83333333333333,38.624813153961135,43.20568252007413,85.25769077107472,11333404.278515708,12409317.607242169,0.7895900243585389,0.620954003197409,65.00546877222841,3d range,True,long,50,wide,0.012,0.04,120,25.280140412320208,54,1.9927164646679745,4.039200000000016,20.495627803472537,55,1.6644527979544128,5.602127983435904,20.974704034397607,54,1.8046388729702778,4.121867679731757,59.314236436658604,46.66569569677104,46.36027219406769,29.055644934985537,15.56619527522669,21.349898606339714,ready
WLFIUSDT,WLFI,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,5.225225225225216,-3.9473684210526327,-22.029372496662212,-24.352331606217625,-40.7707910750507,21.135029354207436,47.553816046966716,57.14285714285714,76644369.0019714,50030193.00910727,1.8952512448255956,1.0855646982843339,59.388039354023604,7d move;7d range,True,short,40,wide,0.01,0.04,90,16.025898896664792,75,1.4542892426215754,10.617859288577975,26.549142315506955,81,1.796446314859307,8.974784145711045,14.166901804410937,58,1.6263621319623556,9.21117399287319,15.11416219779651,25.83504903934113,12.567711883604083,0.15193696614361762,14.574157706942103,-4.230712262976544,ready
AKEUSDT,AKE,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-0.060679611650482634,3.454773869346739,8.784676354029063,-34.629886882317926,30.507131537242472,16.43086816720256,53.206373882627254,121.53128643606684,5375072.226703982,4851182.075733863,0.40584673303616203,0.39065318813771543,57.06701063594773,7d range,True,long,50,base,0.007,0.04,180,27.768397361056564,98,1.7792266815646356,7.91524863360001,28.920080912811287,96,1.8643223918784146,8.119571131781989,20.82215431242882,97,1.5954336440352044,8.02728201179078,18.973407693300757,15.711071118032848,5.1465441245587495,14.660905091240828,13.594589401850943,-3.868304439993986,ready
EDUUSDT,EDU,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-1.705490848585678,-2.072109407376699,2.6498696785404174,12.792362768496425,-5.385385385385377,18.336933045356375,27.775186567164177,113.69403878381613,10133515.703324255,37784147.806078464,0.4891463486511479,6.509275085748152,67.62833192434891,volume spike,True,long,50,base,0.01,0.04,120,7.442302500813636,46,1.319677993376008,5.36329640539624,13.911045067566551,44,1.6819492523395572,4.660423998817239,4.225281887552668,46,1.1750454472977117,5.723433874398441,-1.0234894567014208,6.27320341650468,-5.380843670203561,22.521475849111038,12.133487870121451,8.347547663383171,ready
OPENUSDT,OPEN,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-13.44772545889864,-19.036954087346025,-12.85656890317397,1.3078000934142908,32.823025107164725,30.567276136896403,36.19315518049695,42.75184275184276,21436308.575814314,13883696.238121524,3.5666829640705733,2.0349621305354657,75.76078954105897,3d move;3d range;volume spike,True,long,70,base,0.012,0.04,60,10.813950523714166,16,4.989499796492696,1.1843238660449427,6.372622587663335,11,3.8243236129900953,1.1348813066982992,9.647271793442247,16,4.18638135557806,1.2636134138157527,15.319222075222449,9.69200331316502,13.536675714143897,17.62952484015836,11.92562979301892,15.395378035768935,ready
VICUSDT,VIC,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,2.261640798226172,6.193875201473631,-20.455329423939283,-15.033161385408988,-2.5359256128486884,27.901353965183763,40.81237911025144,46.51837524177949,5645919.717734321,3358941.823668581,2.1608965918736596,1.3466582095391055,60.89592528509118,7d move;3d range;volume spike,True,long,50,wide,0.007,0.04,120,12.073533081328547,79,1.3581101528524946,7.376051535432851,8.562790318273162,56,1.3807876710371076,7.4886518253430205,8.05233050628813,62,1.3401890583834093,8.491200446999992,10.863285180256765,6.6117604968835675,6.373234111140302,21.93002238962094,11.729874534637208,11.402559599935769,ready
MITOUSDT,MITO,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,1.9274143940947175,11.058981233243959,23.687484448867878,35.893931109896116,30.850223743090275,29.502262443438898,43.135783945986496,58.95584559844487,3659685.824861437,2463025.5224828534,2.931550350327605,2.3223242541098807,70.1789927393761,7d move;3d range;volume spike,True,long,50,wide,0.012,0.04,120,12.742190302910705,39,1.601767881594528,4.130130459557941,12.345575553889375,31,1.896901999838096,4.039200000000003,9.915954020756379,39,1.45408627746481,4.284281454350204,23.01445915395348,24.212172436801758,17.98110625736684,16.06062465554723,11.16817097978695,8.127459494204746,ready
AXLUSDT,AXL,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,-6.05543149875214,16.786414108425852,25.87117212249208,26.38275313659657,66.05525888089159,36.48111332007953,53.78010080268807,53.923766816143505,20654593.517861065,16253913.955717389,1.6156915987492468,1.4727027275579194,66.09092687627844,3d move;7d move;3d range;7d range,True,long,50,base,0.01,0.04,180,8.187800170190162,29,1.6047815256381714,4.829784625378577,11.081784713475894,24,2.412609413791111,4.039199999999995,6.194876324298404,29,1.443097159849069,5.22978852873501,5.613067435471386,9.643285462568318,3.1291722826593205,7.4668929948515705,11.149373659835904,4.040749742025573,ready
DUSDT,D,2026-03-20T00:00:00+00:00,2026-05-03T23:59:59.999000+00:00,5.062791248716514,4.567251002279704,-7.727524972253052,35.25165226232843,12.414434209414349,31.954792800334864,39.63501063075836,119.69817315329627,9889192.49710263,20727636.6462627,0.2074603510637312,0.5112078673143111,58.197808541409835,3d range,True,long,60,base,0.012,0.04,120,8.39130382347333,13,3.7839100657278926,1.5072117400419367,11.749288356810727,14,5.5514020019515256,1.4207625703399027,7.464462150280626,13,3.3323165058442923,1.5863075938271416,1.2370510595690831,10.138265579903294,-0.09086445288177813,2.329162694738396,10.008832477129515,-2.6882380692581864,ready
